,Name,F1,Precision,Recall,,,,,
0,"['ReLu', 'LeakyReLU']",0.928998241,0.929152116,0.929126667,0,15,10,2,FALSE
0,"['noChange', 'Sigmoid']",0.941943405,0.942098504,0.942,0,15,10,2,FALSE
0,"['noChange', 'Cos']",0.919196987,0.919260071,0.91944,0,15,10,2,FALSE
0,"['noChange', 'LeakyReLU']",0.931780726,0.932114917,0.931866667,0,15,10,2,FALSE
0,"['noChange', 'ReLu']",0.936000823,0.93648837,0.935966667,0,15,10,2,FALSE
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,Conv
0,MNIST,0,0,0,0,,,,
0,['LeakyReLU'],0.937259152,0.937339685,0.937348,0,50,10,2,FALSE
0,"['LeakyReLU', 'LeakyReLU']",0.928159258,0.928433781,0.928256,0,50,10,2,FALSE
0,['Sigmoid'],0.916703343,0.917118785,0.916732,0,50,10,2,FALSE
0,"['Sigmoid', 'Sigmoid']",0.884794388,0.887127537,0.889576,0,50,10,2,FALSE
0,['Cos'],0.069382051,0.094401566,0.112654,0,50,10,2,FALSE
0,"['Cos', 'Cos']",0.073624532,0.098488532,0.107856,0,50,10,2,FALSE
0,['ReLu'],0.818038949,0.818713757,0.82303,0,50,10,2,FALSE
0,"['ReLu', 'ReLu']",0.410552077,0.414983557,0.463494,0,50,10,2,FALSE
0,['noChange'],0.924885325,0.924873634,0.925108,0,50,10,2,FALSE
0,"['noChange', 'noChange']",0.916672272,0.917168343,0.916898,0,50,10,2,FALSE
0,"['LeakyReLU', 'Sigmoid']",0.941328443,0.941454534,0.94137,0,50,10,2,FALSE
0,"['LeakyReLU', 'Cos']",0.894781629,0.896821301,0.894504,0,50,10,2,FALSE
0,"['Sigmoid', 'Cos']",0.913909045,0.914267178,0.913994,0,50,10,2,FALSE
0,"['ReLu', 'Sigmoid']",0.845400685,0.845853135,0.849208,0,50,10,2,FALSE
0,"['ReLu', 'Cos']",0.537568016,0.574172595,0.554552,0,50,10,2,FALSE
0,"['ReLu', 'LeakyReLU']",0.927780484,0.927959701,0.927878,0,50,10,2,FALSE
0,"['noChange', 'Sigmoid']",0.939656134,0.939791228,0.939726,0,50,10,2,FALSE
0,"['noChange', 'Cos']",0.920446489,0.92052465,0.920732,0,50,10,2,FALSE
0,"['noChange', 'LeakyReLU']",0.935324461,0.935655708,0.9354,0,50,10,2,FALSE
0,"['noChange', 'ReLu']",0.93109099,0.931594714,0.931142,0,50,10,2,FALSE
